,C1 response_case mean,C2 response_case mean,C3 response_case mean,C4 response_case mean,C5 response_case mean,C6 response_case mean,C7 response_case mean,C8 response_case mean,E1 response_case mean,E2 response_case mean,E3 response_case mean,E4 response_case mean,H1 response_case mean,H2 response_case mean,H3 response_case mean,H4 response_case mean
0.0,0.01098901098901099,0.22857142857142854,0.510989010989011,0.28846153846153844,0.2547095761381476,0.2967032967032967,0.31240188383045525,0.2490842490842491,0.13083791208791207,0.2292535051155741,0.2007326007326007,0.173992673992674,0.17582417582417584,0.14835164835164835,0.11488511488511488,0.16998626373626374
1.0,1.0,0.2942612942612943,0.5219780219780219,0.2344322344322344,0.21794871794871792,0.2510989010989011,0.4387755102040816,0.14835164835164835,0.21855921855921853,0.2048229548229548,,,0.06122448979591837,0.20755051400212687,0.2438186813186813,0.01098901098901099
2.0,0.4417582417582418,0.19727891156462585,0.2028897028897029,0.7838827838827839,0.19805194805194806,0.23157724628312865,0.17925085667021148,0.2386185243328101,0.3218210361067504,0.22404126485759135,-0.2637362637362637,,0.23014721127928675,0.23720182256767625,0.2187812187812188,
3.0,0.2035534558899045,0.22226829773999585,,0.13247863247863248,,0.07898351648351648,,0.2598116169544741,,,,,,0.2590266875981161,,
4.0,,,,0.23231456043956045,,,,0.168179646440516,,,,,,,,
50.0,,,,,,,,,,,,0.4395604395604396,,,,0.0989010989010989
150.0,,,,,,,,,,,,0.17582417582417584,,,,
53879.0,,,,,,,,,,,,,,,,0.02197802197802198
165500.0,,,,,,,,,,,,0.8571428571428571,,,,
220507.0,,,,,,,,,,,,0.1868131868131868,,,,
325949.0,,,,,,,,,,,,,,,,0.8571428571428571
372417.0,,,,,,,,,,,-0.2967032967032967,,,,,
424000.0,,,,,,,,,,,,0.16483516483516486,,,,
536507.0,,,,,,,,,,,1.0,,,,,
756512.0,,,,,,,,,,,,,,,,0.1868131868131868
1000000.0,,,,,,,,,,,,,,,,0.08791208791208792
1800000.0,,,,,,,,,,,,0.0,,,,
2000000.0,,,,,,,,,,,,,,,,-0.2967032967032967
2325000.0,,,,,,,,,,,,,,,,0.03296703296703297
2681004.0,,,,,,,,,,,,,,,,0.2087912087912088
3287618.0,,,,,,,,,,,0.02197802197802198,,,,,
3300000.0,,,,,,,,,,,,,,,,0.07692307692307693
3734089.0,,,,,,,,,,,,,,,,1.0
3850000.0,,,,,,,,,,,,,,,,0.02197802197802198
5000000.0,,,,,,,,,,,,0.3406593406593407,,,,
5600000.0,,,,,,,,,,,,,,,,0.5384615384615384
6011700.0,,,,,,,,,,,,1.0,,,,
6248698.0,,,,,,,,,,,,,,,,0.1868131868131868
6257246.0,,,,,,,,,,,,,,,,0.3626373626373626
8899277.0,,,,,,,,,,,,,,,,0.17582417582417584
8953552.0,,,,,,,,,,,0.02197802197802198,,,,,
9000000.0,,,,,,,,,,,-0.3956043956043956,,,,,
9160593.0,,,,,,,,,,,,,,,,-0.14285714285714285
9458705.0,,,,,,,,,,,0.02197802197802198,,,,,
10000000.0,,,,,,,,,,,,0.4065934065934066,,,,
10200000.0,,,,,,,,,,,,,,,,-0.08791208791208792
12000000.0,,,,,,,,,,,,-0.04395604395604396,,,,
12428000.0,,,,,,,,,,,,0.8351648351648352,,,,
12450500.0,,,,,,,,,,,-0.02197802197802198,,,,,
13950000.0,,,,,,,,,,,,,,,,0.02197802197802198
14303901.0,,,,,,,,,,,,,,,,0.25274725274725274
14500014.0,,,,,,,,,,,,0.3956043956043956,,,,
15009037.0,,,,,,,,,,,,0.10989010989010987,,,,
15234800.0,,,,,,,,,,,,,,,,0.12087912087912088
16453484.0,,,,,,,,,,,,,,,,0.03296703296703297
16459500.0,,,,,,,,,,,,,,,,0.10989010989010987
16742866.0,,,,,,,,,,,,,,,,0.2087912087912088
16811799.0,,,,,,,,,,,,,,,,0.08791208791208792
18000000.0,,,,,,,,,,,,0.02197802197802198,,,,
18780000.0,,,,,,,,,,,0.08791208791208792,,,,,
20000000.0,,,,,,,,,,,,,,,,0.01098901098901099
22500000.0,,,,,,,,,,,,,,,,0.9230769230769232
24170109.0,,,,,,,,,,,,,,,,0.27472527472527475
25210084.0,,,,,,,,,,,,,,,,0.1978021978021978
25701603.0,,,,,,,,,,,,,,,,0.2087912087912088
26000000.0,,,,,,,,,,,,,,,,0.12087912087912088
29225962.0,,,,,,,,,,,,,,,,-0.2637362637362637
29550000.0,,,,,,,,,,,,,,,,0.14285714285714285
30000000.0,,,,,,,,,,,,0.6318681318681318,,,,
31267210.0,,,,,,,,,,,,,,,,0.1978021978021978
32928146.0,,,,,,,,,,,,,,,,0.1868131868131868
34467500.0,,,,,,,,,,,,,,,,-0.01098901098901099
34612045.0,,,,,,,,,,,,,,,,0.0989010989010989
37582500.0,,,,,,,,,,,0.10989010989010987,,,,,
38146051.0,,,,,,,,,,,,,,,,0.0989010989010989
38360000.0,,,,,,,,,,,,,,,,-0.3626373626373626
40000000.0,,,,,,,,,,,,,,,,-0.3956043956043956
47833328.0,,,,,,,,,,,,0.8681318681318682,,,,
47858676.0,,,,,,,,,,,,,,,,0.8681318681318682
54000000.0,,,,,,,,,,,,,,,,-0.04395604395604396
58744438.0,,,,,,,,,,,,,,,,0.2857142857142857
61336947.0,,,,,,,,,,,,,,,,0.3296703296703297
62759192.0,,,,,,,,,,,,,,,,0.13186813186813187
66800000.0,,,,,,,,,,,,,,,,0.3406593406593407
81874968.0,,,,,,,,,,,,0.24175824175824176,,,,
100000000.0,,,,,,,,,,,,,,,,0.1868131868131868
103448274.0,,,,,,,,,,,0.1868131868131868,,,,,
105571414.0,,,,,,,,,,,,,,,,0.6813186813186813
106163400.0,,,,,,,,,,,,,,,,0.16483516483516486
107716074.0,,,,,,,,,,,0.03296703296703297,,,,,
109166116.0,,,,,,,,,,,,,,,,0.1868131868131868
112900000.0,,,,,,,,,,,-0.08791208791208792,,,,,
127250000.0,,,,,,,,,,,0.02197802197802198,,,,,
127711935.0,,,,,,,,,,,0.2857142857142857,,,,,
130672834.0,,,,,,,,,,,0.01098901098901099,,,,,
133956000.0,,,,,,,,,,,-0.3626373626373626,,,,,
139540000.0,,,,,,,,,,,,,,,,0.14285714285714285
142933333.0,,,,,,,,,,,,,,,,0.02197802197802198
143500000.0,,,,,,,,,,,-0.14285714285714285,,,,,
144704667.0,,,,,,,,,,,0.17582417582417584,,,,,
146578312.0,,,,,,,,,,,0.06593406593406594,,,,,
152624037.0,,,,,,,,,,,0.0989010989010989,,,,,
176163091.0,,,,,,,,,,,0.03296703296703297,,,,,
178500000.0,,,,,,,,,,,0.07692307692307693,,,,,
182257000.0,,,,,,,,,,,0.02197802197802198,,,,,
183360000.0,,,,,,,,,,,,0.38461538461538464,,,,
190410629.0,,,,,,,,,,,,,,,,0.07692307692307693
191137500.0,,,,,,,,,,,,,,,,0.3516483516483517
198326667.0,,,,,,,,,,,,,,,,0.42857142857142855
200000000.0,,,,,,,,,,,,,,,,0.24175824175824176
250267368.0,,,,,,,,,,,0.3406593406593407,,,,,
274853466.0,,,,,,,,,,,,,,,,0.8351648351648352
297228142.0,,,,,,,,,,,,,,,,0.27472527472527475
306310000.0,,,,,,,,,,,0.3626373626373626,,,,,
336870464.0,,,,,,,,,,,,,,,,0.12087912087912088
349922387.0,,,,,,,,,,,,,,,,0.2307692307692308
357500300.0,,,,,,,,,,,0.0989010989010989,,,,,
410000000.0,,,,,,,,,,,,0.24175824175824176,,,,
420000000.0,,,,,,,,,,,0.02197802197802198,,,,,
441411501.0,,,,,,,,,,,0.16483516483516486,,,,,
459758333.0,,,,,,,,,,,0.08791208791208792,,,,,
463000001.0,,,,,,,,,,,-0.01098901098901099,,,,,
464000000.0,,,,,,,,,,,,,,,,0.17582417582417584
468500000.0,,,,,,,,,,,,,,,,0.9010989010989012
475911756.0,,,,,,,,,,,0.8571428571428571,,,,,
485378457.0,,,,,,,,,,,0.0989010989010989,,,,,
500000000.0,,,,,,,,,,,0.07692307692307693,,,,,
502933780.0,,,,,,,,,,,0.1978021978021978,,,,,
503200000.0,,,,,,,,,,,0.12087912087912088,,,,,
517250000.0,,,,,,,,,,,,0.3516483516483517,,,,
520000000.0,,,,,,,,,,,-0.01098901098901099,,,,,
525000000.0,,,,,,,,,,,,0.14285714285714285,,,,
560790000.0,,,,,,,,,,,,,,,,0.4395604395604396
580000000.0,,,,,,,,,,,0.17582417582417584,,,,,
632100000.0,,,,,,,,,,,,,,,,0.4065934065934066
670373704.0,,,,,,,,,,,,,,,,0.4395604395604396
670987319.0,,,,,,,,,,,0.06593406593406594,,,,,
674730068.0,,,,,,,,,,,0.1868131868131868,,,,,
705000000.0,,,,,,,,,,,0.12087912087912088,,,,,
784659348.0,,,,,,,,,,,,,,,,0.3956043956043956
830000000.0,,,,,,,,,,,,,,,,0.24175824175824176
866907098.0,,,,,,,,,,,0.6813186813186813,,,,,
881415464.0,,,,,,,,,,,,,,,,0.15384615384615385
989100000.0,,,,,,,,,,,0.16483516483516486,,,,,
1035000000.0,,,,,,,,,,,0.9010989010989012,,,,,
1076350000.0,,,,,,,,,,,,,,,,0.3516483516483517
1275773800.0,,,,,,,,,,,,,,,,0.24175824175824176
1311754455.0,,,,,,,,,,,,0.3516483516483517,,,,
1320737722.0,,,,,,,,,,,,,,,,0.15384615384615385
1540838000.0,,,,,,,,,,,,,,,,0.27472527472527475
1600000000.0,,,,,,,,,,,0.9010989010989012,,,,,0.9010989010989012
1629976723.0,,,,,,,,,,,0.17582417582417584,,,,,
1632287336.0,,,,,,,,,,,0.24175824175824176,,,,,
1652000000.0,,,,,,,,,,,0.01098901098901099,,,,,
1716500000.0,,,,,,,,,,,0.27472527472527475,,,,,
1785622773.0,,,,,,,,,,,0.0989010989010989,,,,,
2106745377.0,,,,,,,,,,,,,,,,0.3076923076923077
2205258485.0,,,,,,,,,,,,,,,,0.3516483516483517
2234972943.0,,,,,,,,,,,0.8351648351648352,,,,,
2712000000.0,,,,,,,,,,,0.08791208791208792,,,,,
2712041968.0,,,,,,,,,,,0.24175824175824176,,,,,
2713493667.0,,,,,,,,,,,1.0,,,,,
3010515382.0,,,,,,,,,,,0.2087912087912088,,,,,
3500000000.0,,,,,,,,,,,,,,,,0.3076923076923077
3513614608.0,,,,,,,,,,,0.12087912087912088,,,,,
3659123100.0,,,,,,,,,,,0.2087912087912088,,,,,
3818000000.0,,,,,,,,,,,0.42857142857142855,,,,,
4011333333.0,,,,,,,,,,,0.07692307692307693,,,,,
4222698192.0,,,,,,,,,,,0.1978021978021978,,,,,
4449547873.0,,,,,,,,,,,0.27472527472527475,,,,,
4576961250.0,,,,,,,,,,,0.14285714285714285,,,,,
4972600000.0,,,,,,,,,,,0.2087912087912088,,,,,
4994102276.0,,,,,,,,,,,0.1868131868131868,,,,,
5025125628.0,,,,,,,,,,,0.24175824175824176,,,,,
5180000000.0,,,,,,,,,,,0.15384615384615385,,,,,
5203220000.0,,,,,,,,,,,0.12087912087912088,,,,,
5953333333.0,,,,,,,,,,,0.4395604395604396,,,,,
6152881698.0,,,,,,,,,,,,,,,,0.12087912087912088
6444663713.0,,,,,,,,,,,,,,,,0.38461538461538464
6667814429.0,,,,,,,,,,,0.25274725274725274,,,,,
6905572796.0,,,,,,,,,,,0.27472527472527475,,,,,
7340000000.0,,,,,,,,,,,,,,,,0.24175824175824176
7602643475.0,,,,,,,,,,,0.4395604395604396,,,,,
8356839363.0,,,,,,,,,,,0.12087912087912088,,,,,
8634809629.0,,,,,,,,,,,,,,,,0.6043956043956044
9608192466.0,,,,,,,,,,,0.3516483516483517,,,,,
10436510116.0,,,,,,,,,,,0.1978021978021978,,,,,
10712000000.0,,,,,,,,,,,0.16483516483516486,,,,,
13272907105.0,,,,,,,,,,,0.2307692307692308,,,,,
14393640849.0,,,,,,,,,,,0.8681318681318682,,,,,
17591469026.0,,,,,,,,,,,0.3626373626373626,,,,,
17700000000.0,,,,,,,,,,,0.14285714285714285,,,,,
18311405000.0,,,,,,,,,,,0.4395604395604396,,,,,
19015000000.0,,,,,,,,,,,0.5384615384615384,,,,,
19813095295.0,,,,,,,,,,,0.12087912087912088,,,,,
21094441756.0,,,,,,,,,,,0.24175824175824176,,,,,
21329891157.0,,,,,,,,,,,0.15384615384615385,,,,,
23000000000.0,,,,,,,,,,,0.3296703296703297,,,,,
24650000000.0,,,,,,,,,,,0.1868131868131868,,,,,
26171148296.0,,,,,,,,,,,0.3956043956043956,,,,,
29927500000.0,,,,,,,,,,,0.3626373626373626,,,,,
31358891003.0,,,,,,,,,,,0.0,,,,,
31525996656.0,,,,,,,,,,,,,,,,0.3516483516483517
39766666667.0,,,,,,,,,,,0.3516483516483517,,,,,
68442949673.0,,,,,,,,,,,0.3516483516483517,,,,,
83491155956.0,,,,,,,,,,,0.38461538461538464,,,,,
84844934041.0,,,,,,,,,,,0.3076923076923077,,,,,
87940140634.0,,,,,,,,,,,0.3076923076923077,,,,,
97243688581.0,,,,,,,,,,,0.4065934065934066,,,,,
101639500000.0,,,,,,,,,,,,,,,,0.3516483516483517
