,CountryName,CountryCode,day_under30_smooth_retail_and_recreation_percent_change_from_baseline,day_under30_smooth_grocery_and_pharmacy_percent_change_from_baseline,day_under30_smooth_parks_percent_change_from_baseline,day_under30_smooth_transit_stations_percent_change_from_baseline,day_under30_smooth_workplaces_percent_change_from_baseline,day_under30_smooth_residential_percent_change_from_baseline,First_Inc_GovernmentResponseIndexForDisplay,First_Inc_ContainmentHealthIndexForDisplay,First_Inc_EconomicSupportIndexForDisplay,First_Case_Day
0,Aruba,ABW,3,20,6,5,6,-27,-3,-3,19,27
1,Afghanistan,AFG,33,-10,-10,34,38,-10,-2,-2,-10,10
2,Angola,AGO,3,9,6,1,5,-36,-25,-25,18,36
3,United Arab Emirates,ARE,35,46,34,33,39,0,9,9,35,0
4,Argentina,ARG,12,17,10,13,15,-18,0,0,19,18
5,Australia,AUS,40,0,42,36,45,0,26,30,39,0
6,Austria,AUT,16,24,21,17,19,-11,-2,-2,19,11
7,Belgium,BEL,28,39,40,29,30,0,11,11,20,0
8,Benin,BEN,-31,-31,-31,-31,-31,-31,-24,-24,-31,31
9,Burkina Faso,BFA,17,-25,-25,13,-25,-25,-2,-2,-25,25
10,Bangladesh,BGD,13,18,25,14,16,-23,-8,-8,-23,23
11,Bulgaria,BGR,6,14,12,8,9,-22,-13,-13,22,22
12,Bahrain,BHR,25,-9,25,26,-9,-9,-3,-3,44,9
13,Bosnia and Herzegovina,BIH,10,17,19,12,13,-20,-10,-10,-5,20
14,Belarus,BLR,-13,-13,-13,-13,-13,-13,15,15,56,13
15,Belize,BLZ,0,6,2,-2,1,-38,-35,-35,-8,38
16,Bolivia,BOL,5,8,6,5,8,-26,8,8,19,26
17,Brazil,BRA,21,-11,20,23,26,-11,5,5,20,11
18,Barbados,BRB,7,11,7,5,7,-32,-14,-14,14,32
19,Botswana,BWA,1,3,-46,-1,0,-46,-16,-16,-1,46
20,Canada,CAN,33,0,0,30,33,0,23,23,29,0
21,Switzerland,CHE,18,-11,-11,19,21,-11,-2,-2,22,11
22,Chile,CHL,13,20,11,15,18,-18,10,10,23,18
23,Cameroon,CMR,-21,-21,-21,-21,-21,-21,6,6,-21,21
24,Colombia,COL,10,14,11,11,12,-21,-12,-12,10,21
25,Cape Verde,CPV,1,6,-1,-2,4,-35,-23,-23,11,35
26,Costa Rica,CRI,11,18,10,11,16,-21,3,3,13,21
27,Germany,DEU,32,0,0,31,35,0,11,11,30,0
28,Denmark,DNK,19,-12,-12,15,17,-12,0,0,11,12
29,Dominican Republic,DOM,15,20,16,15,16,-16,0,0,25,16
30,Ecuador,ECU,14,17,14,14,14,-15,1,1,14,15
31,Egypt,EGY,32,41,34,32,39,0,29,29,0,0
32,Spain,ESP,26,32,28,27,29,0,23,23,31,0
33,Estonia,EST,18,-13,-13,19,19,-13,13,13,14,13
34,Finland,FIN,33,0,0,30,34,0,11,11,30,0
35,France,FRA,28,35,32,29,30,0,10,10,30,0
36,Gabon,GAB,11,30,-27,8,27,-27,-1,-1,27,27
37,United Kingdom,GBR,34,42,48,32,35,0,31,35,31,0
38,Georgia,GEO,19,29,49,21,21,-12,-1,-1,34,12
39,Ghana,GHA,15,19,23,14,18,-27,-2,-2,23,27
40,Greece,GRC,15,33,21,16,18,-12,-2,-2,20,12
41,Guatemala,GTM,2,7,3,1,3,-29,-9,-9,37,29
42,Hong Kong,HKG,46,0,46,0,0,0,4,4,9,0
43,Honduras,HND,2,6,5,3,4,-26,-10,-10,22,26
44,Croatia,HRV,20,26,25,20,22,-11,13,13,20,11
45,Hungary,HUN,13,23,19,13,15,-19,-6,-6,13,19
46,Indonesia,IDN,23,-16,23,19,28,-16,-14,-14,-16,16
47,India,IND,34,37,36,34,35,0,15,18,15,0
48,Ireland,IRL,15,-15,32,13,15,-15,-5,-5,14,15
49,Iraq,IRQ,19,24,23,20,22,-10,-6,-6,-10,10
50,Israel,ISR,21,33,26,23,22,-7,11,11,15,7
51,Italy,ITA,22,29,24,20,24,0,6,6,31,0
52,Jamaica,JAM,7,23,6,8,10,-26,-2,-2,20,26
53,Jordan,JOR,14,18,14,11,14,-17,2,2,15,17
54,Japan,JPN,60,0,0,49,71,0,5,5,61,0
55,Kazakhstan,KAZ,9,16,-29,12,7,-29,-3,-3,4,29
56,Kenya,KEN,12,28,33,14,16,-28,-18,-18,4,28
57,South Korea,KOR,13,0,0,0,0,0,6,6,44,0
58,Kuwait,KWT,19,33,21,19,24,-9,-6,-6,37,9
59,Laos,LAO,1,8,-39,1,8,-39,-14,-14,37,39
60,Lebanon,LBN,20,26,22,19,21,-7,-1,-1,46,7
