,CountryName,CountryCode,day_under30_smooth_retail_and_recreation_percent_change_from_baseline,day_under30_smooth_grocery_and_pharmacy_percent_change_from_baseline,day_under30_smooth_parks_percent_change_from_baseline,day_under30_smooth_transit_stations_percent_change_from_baseline,day_under30_smooth_workplaces_percent_change_from_baseline,day_under30_smooth_residential_percent_change_from_baseline,First_Inc_GovernmentResponseIndexForDisplay,First_Inc_ContainmentHealthIndexForDisplay,First_Inc_EconomicSupportIndexForDisplay
0,Aruba,ABW,30,47,33,32,33,0,24,24,46
1,Afghanistan,AFG,43,0,0,44,48,0,8,8,0
2,Angola,AGO,39,45,42,37,41,0,11,11,54
3,United Arab Emirates,ARE,35,46,34,33,39,0,9,9,35
4,Argentina,ARG,30,35,28,31,33,0,18,18,37
5,Australia,AUS,40,0,42,36,45,0,26,30,39
6,Austria,AUT,27,35,32,28,30,0,9,9,30
7,Belgium,BEL,28,39,40,29,30,0,11,11,20
8,Benin,BEN,0,0,0,0,0,0,7,7,0
9,Burkina Faso,BFA,42,0,0,38,0,0,23,23,0
10,Bangladesh,BGD,36,41,48,37,39,0,15,15,0
11,Bulgaria,BGR,28,36,34,30,31,0,9,9,44
12,Bahrain,BHR,34,0,34,35,0,0,6,6,53
13,Bosnia and Herzegovina,BIH,30,37,39,32,33,0,10,10,15
14,Belarus,BLR,0,0,0,0,0,0,28,28,69
15,Belize,BLZ,38,44,40,36,39,0,3,3,30
16,Bolivia,BOL,31,34,32,31,34,0,34,34,45
17,Brazil,BRA,32,0,31,34,37,0,16,16,31
18,Barbados,BRB,39,43,39,37,39,0,18,18,46
19,Botswana,BWA,47,49,0,45,46,0,30,30,45
20,Canada,CAN,33,0,0,30,33,0,23,23,29
21,Switzerland,CHE,29,0,0,30,32,0,9,9,33
22,Chile,CHL,31,38,29,33,36,0,28,28,41
23,Cameroon,CMR,0,0,0,0,0,0,27,27,0
24,Colombia,COL,31,35,32,32,33,0,9,9,31
25,Cape Verde,CPV,36,41,34,33,39,0,12,12,46
26,Costa Rica,CRI,32,39,31,32,37,0,24,24,34
27,Germany,DEU,32,0,0,31,35,0,11,11,30
28,Denmark,DNK,31,0,0,27,29,0,12,12,23
29,Dominican Republic,DOM,31,36,32,31,32,0,16,16,41
30,Ecuador,ECU,29,32,29,29,29,0,16,16,29
31,Egypt,EGY,32,41,34,32,39,0,29,29,0
32,Spain,ESP,26,32,28,27,29,0,23,23,31
33,Estonia,EST,31,0,0,32,32,0,26,26,27
34,Finland,FIN,33,0,0,30,34,0,11,11,30
35,France,FRA,28,35,32,29,30,0,10,10,30
36,Gabon,GAB,38,57,0,35,54,0,26,26,54
37,United Kingdom,GBR,34,42,48,32,35,0,31,35,31
38,Georgia,GEO,31,41,61,33,33,0,11,11,46
39,Ghana,GHA,42,46,50,41,45,0,25,25,50
40,Greece,GRC,27,45,33,28,30,0,10,10,32
41,Guatemala,GTM,31,36,32,30,32,0,20,20,66
42,Hong Kong,HKG,46,0,46,0,0,0,4,4,9
43,Honduras,HND,28,32,31,29,30,0,16,16,48
44,Croatia,HRV,31,37,36,31,33,0,24,24,31
45,Hungary,HUN,32,42,38,32,34,0,13,13,32
46,Indonesia,IDN,39,0,39,35,44,0,2,2,0
47,India,IND,34,37,36,34,35,0,15,18,15
48,Ireland,IRL,30,0,47,28,30,0,10,10,29
49,Iraq,IRQ,29,34,33,30,32,0,4,4,0
50,Israel,ISR,28,40,33,30,29,0,18,18,22
51,Italy,ITA,22,29,24,20,24,0,6,6,31
52,Jamaica,JAM,33,49,32,34,36,0,24,24,46
53,Jordan,JOR,31,35,31,28,31,0,19,19,32
54,Japan,JPN,60,0,0,49,71,0,5,5,61
55,Kazakhstan,KAZ,38,45,0,41,36,0,26,26,33
56,Kenya,KEN,40,56,61,42,44,0,10,10,32
57,South Korea,KOR,13,0,0,0,0,0,6,6,44
